Title,Budget,Cost,Date,Ex/In,Special,Type Expenses,Type In come
hủ tiếu gầm cầu,-15000,"₫15,000",28/03/2023,Expenses,,AC,
đánh cầu,-5000,"₫5,000",28/03/2023,Expenses,,Badmintion,
ô shi,-27000,"₫27,000",30/03/2023,Expenses,,AV,
xăng,-60000,"₫60,000",30/03/2023,Expenses,,DC,
hùng gửi xe,-2000,"₫2,000",30/03/2023,Expenses,,Home,
gà rán,-40000,"₫40,000",30/03/2023,Expenses,,AC,
đèn cầy,-11000,"₫11,000",30/03/2023,Expenses,,RL,
bánh kem,-130000,"₫130,000",30/03/2023,Expenses,,RL,
quà xuân,-25000,"₫25,000",30/03/2023,Expenses,,RL,
bộ bài,-13000,"₫13,000",30/03/2023,Expenses,,RL,
nước đá,-9000,"₫9,000",30/03/2023,Expenses,,RL,
xăng,-40000,"₫40,000",31/03/2023,Expenses,,DC,
sữa tươi,-37000,"₫37,000",31/03/2023,Expenses,,AC,
cơm chiều,-30000,"₫30,000",31/03/2023,Expenses,,AC,
bánh mì bò,-25000,"₫25,000",31/03/2023,Expenses,,AC,
nước cam,-15000,"₫15,000",01/04/2023,Expenses,,AV,
gói iCloud,-19000,"₫19,000",01/04/2023,Expenses,Monthly,Utility,
21G 4g,-60000,"₫60,000",01/04/2023,Expenses,,Utility,
cơm ông mập,-38000,"₫38,000",01/04/2023,Expenses,,AC,
gửi đồ về quê,-80000,"₫80,000",01/04/2023,Expenses,,DC,
xăng,-50000,"₫50,000",02/04/2023,Expenses,,DC,
cơm chiều,-30000,"₫30,000",02/04/2023,Expenses,,AC,
bánh mì bò,-25000,"₫25,000",02/04/2023,Expenses,,AC,
dép,-95000,"₫95,000",02/04/2023,Expenses,,CL,
cơm nguyễn thị thập,-30000,"₫30,000",03/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",03/04/2023,Expenses,,AC,
bánh mì ăn sáng,-15000,"₫15,000",04/04/2023,Expenses,,AC,
cơm chiều,-30000,"₫30,000",04/04/2023,Expenses,,AC,
gửi xe quán ăn,-5000,"₫5,000",04/04/2023,Expenses,,AC,
lệ phí thi ĐGNL đợt 2,-300000,"₫300,000",05/04/2023,Expenses,BigM,Study,
cơm chiều,-30000,"₫30,000",05/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",05/04/2023,Expenses,,AC,
phí đóng tiền ĐGNL,-3300,"₫3,300",05/04/2023,Expenses,,Study,
hủ tiếu,-30000,"₫30,000",06/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",06/04/2023,Expenses,,AC,
coldbrew,-50000,"₫50,000",06/04/2023,Expenses,,RL,
cơm chiều,-30000,"₫30,000",06/04/2023,Expenses,,AC,
tiền giữ,-30000,"₫30,000",07/04/2023,Expenses,,Ngu,
xăng,-60000,"₫60,000",07/04/2023,Expenses,,DC,
bánh mì,-10000,"₫10,000",07/04/2023,Expenses,,AC,
sữa tươi,-10000,"₫10,000",07/04/2023,Expenses,,AV,
cơm,-30000,"₫30,000",08/04/2023,Expenses,,AC,
bánh mì,-15000,"₫15,000",08/04/2023,Expenses,,AC,
sinh tố dừa,-20000,"₫20,000",08/04/2023,Expenses,,AV,
nước suôi,-11000,"₫11,000",09/04/2023,Expenses,,Utility,
sữa tươi,-31000,"₫31,000",09/04/2023,Expenses,,AC,
cam,-22000,"₫22,000",09/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",09/04/2023,Expenses,,AC,
cơm trưa,-38000,"₫38,000",09/04/2023,Expenses,,AC,
cafe phan văn trị,-22000,"₫22,000",09/04/2023,Expenses,,Coffee,
bánh mì kẹp,-21000,"₫21,000",09/04/2023,Expenses,,AC,
cafe trung nguyên,-24000,"₫24,000",09/04/2023,Expenses,,Coffee,
xét học bạ + đgnl UEH,-60000,"₫60,000",09/04/2023,Expenses,,Study,
cơm chiều,-30000,"₫30,000",10/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",10/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",11/04/2023,Expenses,,AC,
cafe 322 trần bình trong,-22000,"₫22,000",11/04/2023,Expenses,,Coffee,
gửi xe sư phạm,-4000,"₫4,000",11/04/2023,Expenses,,Study,
sách một nghệ thuật sống,-55000,"₫55,000",11/04/2023,Expenses,,Study,
xăng,-50000,"₫50,000",11/04/2023,Expenses,,DC,
cơm chiều,-30000,"₫30,000",11/04/2023,Expenses,,AC,
cơm tắm,-30000,"₫30,000",12/04/2023,Expenses,,AC,
đuôi cá gắn quạt,-9000,"₫9,000",12/04/2023,Expenses,,Home,
bánh mì,-10000,"₫10,000",12/04/2023,Expenses,,AC,
cơm chiều,-30000,"₫30,000",13/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",13/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",14/04/2023,Expenses,,AC,
xủi thêm,-10000,"₫10,000",14/04/2023,Expenses,,AC,
cơm chiều,-30000,"₫30,000",14/04/2023,Expenses,,AC,
bánh mì a thành,-13000,"₫13,000",14/04/2023,Expenses,,Accident,
trà xanh toco,-31000,"₫31,000",14/04/2023,Expenses,,AV,
bánh mì,-13000,"₫13,000",15/04/2023,Expenses,,AC,
cơm tắm,-30000,"₫30,000",15/04/2023,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",16/04/2023,Expenses,,AC,
sữa tươi,-31500,"₫31,500",16/04/2023,Expenses,,AC,
trà sữa 3h,-52000,"₫52,000",16/04/2023,Expenses,,AV,
cơm tắm,-33000,"₫33,000",16/04/2023,Expenses,,AC,
cafe sáng tạo,-64000,"₫64,000",16/04/2023,Expenses,,Coffee,
gửi xe bưu điện,-3000,"₫3,000",16/04/2023,Expenses,,RL,
táo,-43500,"₫43,500",16/04/2023,Expenses,,AC,
cơm tắm,-30000,"₫30,000",16/04/2023,Expenses,,AC,
trà phúc long,-35000,"₫35,000",17/04/2023,Expenses,,RL,
xăng,-50000,"₫50,000",17/04/2023,Expenses,,DC,
cơm,-30000,"₫30,000",17/04/2023,Expenses,,AC,
hột vịt lộn,-15000,"₫15,000",17/04/2023,Expenses,,AV,
bù cơm trưa,-10000,"₫10,000",18/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",18/04/2023,Expenses,,AC,
cơm chiều,-30000,"₫30,000",18/04/2023,Expenses,,AC,
cơm chiềui,-35000,"₫35,000",19/04/2023,Expenses,,AC,
card điện thoại,-10000,"₫10,000",19/04/2023,Expenses,,Utility,
xăng 4,-40000,"₫40,000",19/04/2023,Expenses,,DC,
bánh mì,-10000,"₫10,000",19/04/2023,Expenses,,AC,
cafe đầu ngõ,-10000,"₫10,000",19/04/2023,Expenses,,Coffee,
phí rút tiền,-1048,"₫1,048",20/04/2023,Expenses,,Utility,
cơm tắm,-30000,"₫30,000",20/04/2023,Expenses,,AC,
bánh mì,-10000,"₫10,000",20/04/2023,Expenses,,AC,
cơm tắm,-30000,"₫30,000",21/04/2023,Expenses,,AC,
cafe,-10000,"₫10,000",21/04/2023,Expenses,,Coffee,
gửi xe sư phạm,-2000,"₫2,000",21/04/2023,Expenses,,Study,
cơm tắm,-30000,"₫30,000",22/04/2023,Expenses,,AC,
hồng trà,-27000,"₫27,000",22/04/2023,Expenses,,AV,
cơm tắm,-30000,"₫30,000",23/04/2023,Expenses,,AC,
sữa tươi,-31500,"₫31,500",23/04/2023,Expenses,,AC,
rút tiền,-1100,"₫1,100",23/04/2023,Expenses,,Utility,
táo,-64500,"₫64,500",23/04/2023,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",23/04/2023,Expenses,,AC,
cơm g,-30000,"₫30,000",23/04/2023,Expenses,,AC,
iCloud +,-19000,"₫19,000",23/04/2023,Expenses,Monthly,Utility,
cơm chiều,-30000,"₫30,000",24/04/2023,Expenses,,AC,
xăng,-40000,"₫40,000",24/04/2023,Expenses,,DC,
cơm tắm,-30000,"₫30,000",25/04/2023,Expenses,,AC,
nguyện vọng đgnl,-325000,"₫325,000",26/04/2023,Expenses,BigM,Study,
cơm tắm,-30000,"₫30,000",26/04/2023,Expenses,,AC,
nước suối,-7000,"₫7,000",26/04/2023,Expenses,,AV,
phí đóng lệ phí,-3575,"₫3,575",26/04/2023,Expenses,,Study,
nhớt,-68600,"₫68,600",26/04/2023,Expenses,,Utility,
cơm,-30000,"₫30,000",27/04/2023,Expenses,,AC,
cơm trưa lỡ trả tk phúc,-42500,"₫42,500",27/04/2023,Expenses,,Accident,
musi chặn quảng cáo,-149000,"₫149,000",28/04/2023,Expenses,BigM,Utility,
xăng,-50000,"₫50,000",28/04/2023,Expenses,,DC,
bánh mì,-10000,"₫10,000",28/04/2023,Expenses,,AC,
cơm tắm,-30000,"₫30,000",28/04/2023,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",28/04/2023,Expenses,,Utility,
cơm tắm,-30000,"₫30,000",29/04/2023,Expenses,,AC,
chìa khóa số 17,-35000,"₫35,000",29/04/2023,Expenses,,Utility,
cafe buổi trưa,-13000,"₫13,000",29/04/2023,Expenses,,Coffee,
cơm,-33000,"₫33,000",30/04/2023,Expenses,,AC,
nước dưa hấu ép sa đéc,-35000,"₫35,000",30/04/2023,Expenses,,RL,
bù tiền mua ruột cho ba,-15000,"₫15,000",30/04/2023,Expenses,,Family,
xăng xe 100,-30000,"₫30,000",30/04/2023,Expenses,,DC,
xăng về quê,-70000,"₫70,000",30/04/2023,Expenses,,DC,
hớt tóc,-40000,"₫40,000",30/04/2023,Expenses,,Body,
bánh bao,-20000,"₫20,000",30/04/2023,Expenses,,AC,
phsi rút tiền,-1100,"₫1,100",30/04/2023,Expenses,,Utility,
nước cam,-15000,"₫15,000",30/04/2023,Expenses,,AV,
gửi đồ,-35000,"₫35,000",30/04/2023,Expenses,,DC,
nước suối,-10000,"₫10,000",01/05/2023,Expenses,,Utility,
phí rút tiền,-1100,"₫1,100",01/05/2023,Expenses,,Utility,
xôi,-10000,"₫10,000",01/05/2023,Expenses,,AC,
bida béo,-19000,"₫19,000",01/05/2023,Expenses,,Bida,
cafe số 1 trần phú Sadec,-10000,"₫10,000",01/05/2023,Expenses,,Coffee,
xăng,-30000,"₫30,000",01/05/2023,Expenses,,DC,
thùng bia,-130000,"₫130,000",01/05/2023,Expenses,,RL,
hủ tiếu gầm cầu,-19000,"₫19,000",01/05/2023,Expenses,,AC,
trà chanh,-5000,"₫5,000",01/05/2023,Expenses,,RL,
sân cầu,-5000,"₫5,000",01/05/2023,Expenses,,Badmintion,
tiền đánh cầu + việt em,-10000,"₫10,000",02/05/2023,Expenses,,Badmintion,
nước mia,-5000,"₫5,000",02/05/2023,Expenses,,AV,
nhớt xe,-110000,"₫110,000",02/05/2023,Expenses,BigM,Utility,
nước cam nha mân,-20000,"₫20,000",02/05/2023,Expenses,,AV,
caste xe blade,-47000,"₫47,000",02/05/2023,Expenses,,DC,
cơm sườn chi mai,-20000,"₫20,000",02/05/2023,Expenses,,AC,
bị lấy bóp,-383000,"₫383,000",03/05/2023,Expenses,BigM,Accident,
nước mía + đồ chiên chung với việt,-20000,"₫20,000",03/05/2023,Expenses,,AV,
cơm sườn chị mai,-20000,"₫20,000",03/05/2023,Expenses,,AC,
cầu lông,-21000,"₫21,000",03/05/2023,Expenses,,Badmintion,
sân cầu,-7000,"₫7,000",03/05/2023,Expenses,,Badmintion,
4g 21G,-60000,"₫60,000",04/05/2023,Expenses,,Utility,
sân cầu,-5000,"₫5,000",04/05/2023,Expenses,,Badmintion,
nước mía,-10000,"₫10,000",04/05/2023,Expenses,,AV,
xăng,-30000,"₫30,000",04/05/2023,Expenses,,DC,
công chứng giấy tờ,-17000,"₫17,000",05/05/2023,Expenses,,Study,
xăng,-30000,"₫30,000",05/05/2023,Expenses,,DC,
tem+ bao thơ,-23000,"₫23,000",05/05/2023,Expenses,,Study,
card,-10000,"₫10,000",05/05/2023,Expenses,,Utility,
nước mía,-11000,"₫11,000",05/05/2023,Expenses,,AV,
nước quán đối diện trường,-18000,"₫18,000",05/05/2023,Expenses,,RL,
cầu lông,-12000,"₫12,000",05/05/2023,Expenses,,Badmintion,
sân cầu,-5000,"₫5,000",05/05/2023,Expenses,,Badmintion,
cold brew tiệm nhà mình,-26000,"₫26,000",05/05/2023,Expenses,,RL,
pho to,-2000,"₫2,000",05/05/2023,Expenses,,Study,
hình thẻ,-50000,"₫50,000",05/05/2023,Expenses,,Study,
nước suối,-10000,"₫10,000",06/05/2023,Expenses,,Badmintion,
nước mía,-10000,"₫10,000",06/05/2023,Expenses,,AV,
bida béo,-27000,"₫27,000",06/05/2023,Expenses,,Bida,
sân cầu + tiền cầu,-13000,"₫13,000",06/05/2023,Expenses,,Badmintion,
tiền sân + cầu,-7000,"₫7,000",07/05/2023,Expenses,,Badmintion,
xăng,-30000,"₫30,000",07/05/2023,Expenses,,DC,
nước mía,-10000,"₫10,000",07/05/2023,Expenses,,AV,
đan vợt,-130000,"₫130,000",08/05/2023,Expenses,BigM,Badmintion,
colf brew cam tiệm nhà mình,-26000,"₫26,000",08/05/2023,Expenses,,Mental,
pin bàn phím,-85000,"₫85,000",09/05/2023,Expenses,,Accident,
nước mía,-5000,"₫5,000",10/05/2023,Expenses,,AV,
sân cầu,-11000,"₫11,000",10/05/2023,Expenses,,Badmintion,
nước suối,-10000,"₫10,000",10/05/2023,Expenses,,Badmintion,
sân cầu,-7000,"₫7,000",11/05/2023,Expenses,,Badmintion,
cầu lông,-7000,"₫7,000",12/05/2023,Expenses,,Badmintion,
bánh mì,-12000,"₫12,000",12/05/2023,Expenses,,AC,
nước mía,-5000,"₫5,000",12/05/2023,Expenses,,AV,
nước mía,-10000,"₫10,000",13/05/2023,Expenses,,AV,
sân cầu,-7000,"₫7,000",13/05/2023,Expenses,,Badmintion,
đồ chiên,-15000,"₫15,000",13/05/2023,Expenses,,AV,
phí rút tiền,-1100,"₫1,100",14/05/2023,Expenses,,Utility,
xăng xe 100,-30000,"₫30,000",14/05/2023,Expenses,,DC,
xăng đi cần thơ,-55000,"₫55,000",14/05/2023,Expenses,,DC,
cầu lông,-13000,"₫13,000",18/05/2023,Expenses,,Badmintion,
tiền xăng cho việt em,-16000,"₫16,000",18/05/2023,Expenses,,DC,
đồ chiên,-10000,"₫10,000",18/05/2023,Expenses,,AV,
nước mía,-5000,"₫5,000",18/05/2023,Expenses,,AV,
quấn cán vợt,-22000,"₫22,000",19/05/2023,Expenses,,Badmintion,
sân cầu,-9000,"₫9,000",19/05/2023,Expenses,,Badmintion,
nước mía,-10000,"₫10,000",19/05/2023,Expenses,,AV,
giày cầu long,-140000,"₫140,000",20/05/2023,Expenses,BigM,CL,
đá chanh với đám hiểu,-5000,"₫5,000",20/05/2023,Expenses,,RL,
2 bộ đá banh,-150000,"₫150,000",20/05/2023,Expenses,BigM,CL,
xăng,-30000,"₫30,000",20/05/2023,Expenses,,DC,
bún đậu,-34000,"₫34,000",20/05/2023,Expenses,,AC,
sân cầu + cầu,-23000,"₫23,000",21/05/2023,Expenses,,Badmintion,
cafe 100g,-10000,"₫10,000",21/05/2023,Expenses,,Coffee,
sân cầu,-11000,"₫11,000",22/05/2023,Expenses,,Badmintion,
trả tiền thua cầu cho tín,-12000,"₫12,000",25/05/2023,Expenses,,RL,
thua cầu,-12000,"₫12,000",25/05/2023,Expenses,,Badmintion,
lăng nách,-62000,"₫62,000",25/05/2023,Expenses,,Utility,
iCloud+,-19000,"₫19,000",25/05/2023,Expenses,Monthly,Utility,
tiền sân cầu,-11000,"₫11,000",25/05/2023,Expenses,,Badmintion,
cầu sân,-17000,"₫17,000",26/05/2023,Expenses,,Badmintion,
hớt  tóc,-30000,"₫30,000",26/05/2023,Expenses,,Utility,
nước cho anh Duy vs tường,-94000,"₫94,000",27/05/2023,Expenses,,Home,
cơm,-30000,"₫30,000",27/05/2023,Expenses,,AC,
photo,-2000,"₫2,000",27/05/2023,Expenses,,Study,
thang máy,-2000,"₫2,000",27/05/2023,Expenses,,Home,
"viết, gom",-28000,"₫28,000",27/05/2023,Expenses,,Study,
xăng đi sg đgnl,-100000,"₫100,000",27/05/2023,Expenses,,DC,
hủ tiếu đêm,-25000,"₫25,000",27/05/2023,Expenses,,AC,
gửi đồ về quê,-60000,"₫60,000",28/05/2023,Expenses,,Utility,
cơm sườn,-35000,"₫35,000",28/05/2023,Expenses,,AC,
little cam ở little cam,-50000,"₫50,000",28/05/2023,Expenses,,Mental,
gửi xe thi đgnl,-6000,"₫6,000",28/05/2023,Expenses,,Study,
bánh mì,-10000,"₫10,000",28/05/2023,Expenses,,AC,
gửi xe phan văn trị,-15000,"₫15,000",28/05/2023,Expenses,,RL,
cơm trưa q1,-40000,"₫40,000",28/05/2023,Expenses,,AC,
nước suối,-6000,"₫6,000",29/05/2023,Expenses,,Utility,
cafe phan văn trị,-14000,"₫14,000",29/05/2023,Expenses,,Coffee,
xăng,-50000,"₫50,000",29/05/2023,Expenses,,DC,
bánh mì ăn sáng,-10000,"₫10,000",29/05/2023,Expenses,,AC,
gửi xe,-15000,"₫15,000",29/05/2023,Expenses,,Study,
cafe thủ đức,-19000,"₫19,000",29/05/2023,Expenses,,Coffee,
gửi xe center,-5000,"₫5,000",29/05/2023,Expenses,,RL,
phí rút tiền,-1100,"₫1,100",29/05/2023,Expenses,,Utility,
cơm sườn,-35000,"₫35,000",29/05/2023,Expenses,,AC,
bơm bánh xe,-3000,"₫3,000",29/05/2023,Expenses,,DC,
gửi xe sư phạm,-2000,"₫2,000",29/05/2023,Expenses,,Study,
nươc mía,-10000,"₫10,000",30/05/2023,Expenses,,AV,
cầu lông,-20000,"₫20,000",30/05/2023,Expenses,,Badmintion,
tiền nước mía tường em,-18000,"₫18,000",30/05/2023,Expenses,,RL,
rút tiền,-1100,"₫1,100",30/05/2023,Expenses,,Utility,
xăng,-20000,"₫20,000",30/05/2023,Expenses,,DC,
xăng,-40000,"₫40,000",31/05/2023,Expenses,,DC,
bida,-15000,"₫15,000",31/05/2023,Expenses,,RL,
photo học bạ,-8000,"₫8,000",31/05/2023,Expenses,,Study,
nước mía,-10000,"₫10,000",31/05/2023,Expenses,,AV,
cầu lông,-17000,"₫17,000",31/05/2023,Expenses,,Badmintion,
phí rút tiền,-1100,"₫1,100",31/05/2023,Expenses,,Utility,
nước suối,-10000,"₫10,000",01/06/2023,Expenses,,Badmintion,
nước mía + đồ chiên,-25000,"₫25,000",01/06/2023,Expenses,,AV,
cầu lông,-11000,"₫11,000",01/06/2023,Expenses,,Badmintion,
bánh mì,-12000,"₫12,000",01/06/2023,Expenses,,AC,
gửi xe cần thơ,-2000,"₫2,000",02/06/2023,Expenses,,Study,
sân cầu,-17000,"₫17,000",02/06/2023,Expenses,,Badmintion,
nguyện vọng cần thơ,-150000,"₫150,000",02/06/2023,Expenses,BigM,Study,
xăng,-40000,"₫40,000",02/06/2023,Expenses,,DC,
quấn cán,-12000,"₫12,000",02/06/2023,Expenses,,Badmintion,
quấn cán cho tín em,-12000,"₫12,000",02/06/2023,Expenses,,RL,
cầu lông,-23000,"₫23,000",03/06/2023,Expenses,,Badmintion,
nước mía + đồ chiên,-22000,"₫22,000",03/06/2023,Expenses,,AV,
cầu lông,-11000,"₫11,000",04/06/2023,Expenses,,Badmintion,
sữa tươi,-34000,"₫34,000",05/06/2023,Expenses,,AC,
cầu lông,-11000,"₫11,000",05/06/2023,Expenses,,Badmintion,
nước với thầy dới cả tàu,-20000,"₫20,000",05/06/2023,Expenses,,RL,
xăng,-30000,"₫30,000",05/06/2023,Expenses,,DC,
nước mía,-5000,"₫5,000",06/06/2023,Expenses,,AV,
đèn bàn học,-106000,"₫106,000",06/06/2023,Expenses,,Utility,
cầu lông,-35000,"₫35,000",06/06/2023,Expenses,,Badmintion,
cầu lông sân tân hội,-17000,"₫17,000",07/06/2023,Expenses,,Badmintion,
cầu lông,-11000,"₫11,000",07/06/2023,Expenses,,Badmintion,
bánh bao,-12000,"₫12,000",07/06/2023,Expenses,,Utility,
cầu,-23000,"₫23,000",08/06/2023,Expenses,,Badmintion,
nguyện vọng ĐGNL,-125000,"₫125,000",08/06/2023,Expenses,BigM,Study,
xăng,-30000,"₫30,000",08/06/2023,Expenses,,DC,
phí thanh toán nguyện vọng,-1375,"₫1,375",08/06/2023,Expenses,,Study,
cafe trần phú sa đéc,-13000,"₫13,000",09/06/2023,Expenses,,Coffee,
sân cầu,-23000,"₫23,000",09/06/2023,Expenses,,Badmintion,
xăng,-30000,"₫30,000",09/06/2023,Expenses,,DC,
quấn cán trả việt em,-12000,"₫12,000",09/06/2023,Expenses,,Badmintion,
cầu lông nvh,-23000,"₫23,000",10/06/2023,Expenses,,Badmintion,
xăng,-30000,"₫30,000",10/06/2023,Expenses,,DC,
cầu lông tân hội,-24000,"₫24,000",10/06/2023,Expenses,,Badmintion,
bún đậu,-45000,"₫45,000",10/06/2023,Expenses,,AC,
cafe công viên sadec,-10000,"₫10,000",10/06/2023,Expenses,,Coffee,
4g 21G,-60000,"₫60,000",10/06/2023,Expenses,,Utility,
cầu lông,-10000,"₫10,000",11/06/2023,Expenses,,Badmintion,
cầu lông a thông,-10000,"₫10,000",11/06/2023,Expenses,,Badmintion,
xăng,-20000,"₫20,000",12/06/2023,Expenses,,DC,
nguyện vọng đh KT-CN CT,-60000,"₫60,000",12/06/2023,Expenses,,Study,
cầu lông,-11000,"₫11,000",12/06/2023,Expenses,,Badmintion,
trà chanh lạc cườn,-9000,"₫9,000",12/06/2023,Expenses,,RL,
phí rút tiền,-1100,"₫1,100",13/06/2023,Expenses,,Utility,
nước quán mây,-30000,"₫30,000",13/06/2023,Expenses,,RL,
xăng,-30000,"₫30,000",13/06/2023,Expenses,,DC,
nước mía,-5000,"₫5,000",13/06/2023,Expenses,,AV,
xăng,-20000,"₫20,000",14/06/2023,Expenses,,DC,
cầu,-23000,"₫23,000",14/06/2023,Expenses,,Badmintion,
xăng,-43000,"₫43,000",15/06/2023,Expenses,,DC,
cầu lông,-23000,"₫23,000",15/06/2023,Expenses,,Badmintion,
sân cầu,-21000,"₫21,000",16/06/2023,Expenses,,Badmintion,
tiền giải cầu lông,-150000,"₫150,000",16/06/2023,Expenses,BigM,Badmintion,
cầu lông việt em,-6000,"₫6,000",17/06/2023,Expenses,,Badmintion,
cầu lông,-14000,"₫14,000",17/06/2023,Expenses,,Badmintion,
cầu lông,-11000,"₫11,000",18/06/2023,Expenses,,Badmintion,
quấn cán,-24000,"₫24,000",18/06/2023,Expenses,,Badmintion,
cầu lông,-11000,"₫11,000",19/06/2023,Expenses,,Badmintion,
xăng,-20000,"₫20,000",19/06/2023,Expenses,,DC,
đang lưới cầu lông,-150000,"₫150,000",19/06/2023,Expenses,BigM,Badmintion,
cầu lông,-23000,"₫23,000",20/06/2023,Expenses,,Badmintion,
xăng,-30000,"₫30,000",21/06/2023,Expenses,,DC,
nước mía,-5000,"₫5,000",21/06/2023,Expenses,,AV,
cầu lông,-29000,"₫29,000",21/06/2023,Expenses,,Badmintion,
bánh mì,-12000,"₫12,000",22/06/2023,Expenses,,AC,
cầu lông,-11000,"₫11,000",22/06/2023,Expenses,,Badmintion,
card đt,-10000,"₫10,000",23/06/2023,Expenses,,Utility,
cầu lông,-17000,"₫17,000",23/06/2023,Expenses,,Badmintion,
trả tiền bánh mì cho trang,-11000,"₫11,000",26/06/2023,Expenses,,Ngu,
xăng,-30000,"₫30,000",26/06/2023,Expenses,,DC,
hớt tóc,-50000,"₫50,000",26/06/2023,Expenses,,Body,
cầu lông,-11000,"₫11,000",26/06/2023,Expenses,,Badmintion,
bánh mì,-12000,"₫12,000",26/06/2023,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",26/06/2023,Expenses,,Utility,
cầu lông,-17000,"₫17,000",27/06/2023,Expenses,,Badmintion,
nước mía,-5000,"₫5,000",27/06/2023,Expenses,,AV,
viết,-13000,"₫13,000",27/06/2023,Expenses,,Study,
bánh bao,-15000,"₫15,000",27/06/2023,Expenses,,AC,
cafe mộc,-13000,"₫13,000",27/06/2023,Expenses,,RL,
cầu lông,-11000,"₫11,000",28/06/2023,Expenses,,Badmintion,
soi,-15000,"₫15,000",28/06/2023,Expenses,,AC,
gửi xe,-2000,"₫2,000",28/06/2023,Expenses,,Study,
xăng,-40000,"₫40,000",28/06/2023,Expenses,,DC,
nước mía việt em bao,-10000,"₫10,000",28/06/2023,Expenses,,DC,
cầu lông,-11000,"₫11,000",29/06/2023,Expenses,,Badmintion,
xăng,-20000,"₫20,000",29/06/2023,Expenses,,DC,
gửi xe,-4000,"₫4,000",29/06/2023,Expenses,,Study,
bảo hiểm xe,-86000,"₫86,000",30/06/2023,Expenses,,DC,
iCloud+,-19000,"₫19,000",30/06/2023,Expenses,Monthly,Utility,
phí rút tiền,-1100,"₫1,100",30/06/2023,Expenses,,Utility,
tiền biển số xe,-60000,"₫60,000",30/06/2023,Expenses,,DC,
cafe cho ba,-10000,"₫10,000",30/06/2023,Expenses,,Family,
nước suối,-10000,"₫10,000",30/06/2023,Expenses,,Badmintion,
thuế trước bạ,-57000,"₫57,000",30/06/2023,Expenses,,DC,
cầu lông,-17000,"₫17,000",30/06/2023,Expenses,,Badmintion,
khung gắn biển,-50000,"₫50,000",30/06/2023,Expenses,,DC,
xăng,-90000,"₫90,000",30/06/2023,Expenses,,DC,
bánh mì,-12000,"₫12,000",01/07/2023,Expenses,,AC,
cầu lông,-17000,"₫17,000",01/07/2023,Expenses,,Badmintion,
bi da,-10000,"₫10,000",01/07/2023,Expenses,,RL,
ăn sáng với mailoan,-50000,"₫50,000",02/07/2023,Expenses,,AC,
xăng,-20000,"₫20,000",03/07/2023,Expenses,,DC,
cầu lông,-17000,"₫17,000",03/07/2023,Expenses,,Badmintion,
rút tiền,-1100,"₫1,100",03/07/2023,Expenses,,Utility,
nước mía,-5000,"₫5,000",03/07/2023,Expenses,,AV,
đồ chiên,-17000,"₫17,000",03/07/2023,Expenses,,AV,
ăn sáng,-10000,"₫10,000",03/07/2023,Expenses,,AC,
bao cầu lông tường em,-5000,"₫5,000",04/07/2023,Expenses,,RL,
bún đậu,-60000,"₫60,000",04/07/2023,Expenses,,AC,
Cầu lông,-23000,"₫23,000",04/07/2023,Expenses,,Badmintion,
quấn càn,-24000,"₫24,000",05/07/2023,Expenses,,Badmintion,
cầu,-11000,"₫11,000",05/07/2023,Expenses,,Badmintion,
phí rút tiền,-1100,"₫1,100",05/07/2023,Expenses,,Utility,
xăng,-30000,"₫30,000",05/07/2023,Expenses,,DC,
cầu lông,-17000,"₫17,000",06/07/2023,Expenses,,Badmintion,
xăng xe việt,-10000,"₫10,000",06/07/2023,Expenses,,DC,
cầu lông,-29000,"₫29,000",07/07/2023,Expenses,,Badmintion,
bánh bao,-15000,"₫15,000",07/07/2023,Expenses,,AC,
rửa xe,-16000,"₫16,000",08/07/2023,Expenses,,DC,
xăng,-30000,"₫30,000",08/07/2023,Expenses,,DC,
bánh mì,-12000,"₫12,000",08/07/2023,Expenses,,AC,
cầu lông,-11000,"₫11,000",09/07/2023,Expenses,,Badmintion,
bánh mì,-12000,"₫12,000",09/07/2023,Expenses,,AC,
quán cán,-12000,"₫12,000",10/07/2023,Expenses,,Badmintion,
sân cầu,-11000,"₫11,000",10/07/2023,Expenses,,Badmintion,
nước mía,-5000,"₫5,000",10/07/2023,Expenses,,AV,
nước mía việt em bao,-5000,"₫5,000",11/07/2023,Expenses,,AV,
sân cầu,-28000,"₫28,000",11/07/2023,Expenses,,Badmintion,
cafe tuệ tâm sadec,-15000,"₫15,000",11/07/2023,Expenses,,Coffee,
xăng,-30000,"₫30,000",11/07/2023,Expenses,,DC,
đan lưới vợt,-160000,"₫160,000",11/07/2023,Expenses,BigM,Badmintion,
